Bankleitzahl,BIC
21089201,DRESDEFFI07
21090007,GENODEF1KIL
21090007,
21090007,
21090007,
21090007,
21090007,
21090007,
21090007,
21090007,
21090007,
21090007,
21090619,DAAEDED1019
21090900,GENODEF1P11
21092023,GENODEF1EFO
21092023,
21092023,
21092023,
21092023,
21092023,
21210111,ESSEDE5F212
21230085,HYVEDEMM380
21230086,HYVEDEMM384
21240040,COBADEFF212
21240040,COBADEFF227
21241540,COBADEFF225
21261089,GENODEF1WAS
21261227,GENODEF1BOO
21270020,DEUTDEHH212
21270024,DEUTDEDB212
21280002,DRESDEFF212
21290016,GENODEF1NMS
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21290016,
21340010,COBADEFF226
21352240,NOLADE21HOL
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21352240,
21390008,GENODEF1NSH
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21390008,
21392218,GENODEF1EUT
21392218,
21392218,
21392218,
21392218,
21392218,
21392218,
21430070,HYVEDEMM387
21440045,COBADEFF214
21450000,
21450000,
21450000,
21450000,
21450000,
21450000,
21450000,NOLADE21RDB
21450000,
21451205,NOLADE21BDF
21452030,NOLADE21HWS
21452030,
21452030,
21452030,
21463603,GENODEF1NTO
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21463603,
21464671,GENODEF1TOB
21464671,
21464671,
21480003,DRESDEFF214
21500000,MARKDEF1215
21510600,SYBKDE22XXX
21520100,
21520100,UNBNDE21XXX
21530080,HYVEDEMM334
21540060,COBADEFF215
21550050,NOLADE21FLS
21565316,GENODEF1HDW
21565316,
21565316,
21565316,
21565316,
21566356,
21566356,
21566356,
21566356,
21566356,GENODEF1SBR
21566356,
21566356,
21566356,
21566356,
21567360,GENODEF1KJO
21570011,DEUTDEHH215
21570011,DEUTDEHH216
21570024,DEUTDEDB215
21570024,DEUTDEDB216
21580000,DRESDEFF215
21630060,HYVEDEMM393
21630061,HYVEDEMM394
21630062,HYVEDEMM395
21630063,HYVEDEMM397
21650110,NOLADE21SLN
21661719,GENODEF1RSL
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21661719,
21690020,GENODEF1SLW
21690020,
21690020,
21690020,
21690020,
21690020,
21690020,
21690020,
21690020,
21690020,
21690020,
21690020,
21700000,MARKDEF1217
21730040,HYVEDEMM348
21730042,HYVEDEMM353
21730043,HYVEDEMM355
21730044,HYVEDEMM358
21730045,HYVEDEMM359
21730046,HYVEDEMM361
21740043,COBADEFF217
